DIVIPOLA;DEPARTAMENTO;COD MUNICIPIO;MUNICIPIO;FASE;METODO;COORD;INICIO
17;CALDAS;17446;MARULANDA;2;BARRIDO;CALDAS;SI
50;CUNDINAMARCA;25438;MEDINA;2;BARRIDO;META;SI
73;TOLIMA;73449;MELGAR;2;BARRIDO;TOLIMA;SI
19;CAUCA;19450;MERCADERES;2;BARRIDO;CAUCA;SI
50;META;50330;MESETAS;2;MIXTO;META;SI
18;CAQUETÁ;18460;MILÁN;2;BARRIDO;CAQUETÁ;SI
15;BOYACÁ;15455;MIRAFLORES;2;BARRIDO;BOYACÁ;SI
19;CAUCA;19455;MIRANDA;2;BARRIDO;CAUCA;SI
66;RISARALDA;66456;MISTRATÓ;2;MIXTO;RISARALDA;SI
86;PUTUMAYO;86001;MOCOA;2;BARRIDO;PUTUMAYO;SI
23;CÓRDOBA;23464;MOMIL;2;BARRIDO;CÓRDOBA;SI
15;BOYACÁ;15464;MONGUA;2;BARRIDO;BOYACÁ;SI
15;BOYACÁ;15466;MONGUÍ;2;BARRIDO;BOYACÁ;SI
15;BOYACÁ;15469;MONIQUIRÁ;2;BARRIDO;BOYACÁ;SI
23;CÓRDOBA;23466;MONTELÍBANO;2;BARRIDO;CÓRDOBA;SI
63;QUINDIO;63470;MONTENEGRO;2;BARRIDO;QUINDIO;SI
23;CÓRDOBA;23001;MONTERÍA;2;BARRIDO;CÓRDOBA;SI
85;CASANARE;85162;MONTERREY;2;BARRIDO;CASANARE;SI
23;CÓRDOBA;23500;MOÑITOS;2;BARRIDO;CÓRDOBA;SI
19;CAUCA;19473;MORALES;2;BARRIDO;CAUCA;SI
18;CAQUETÁ;18479;MORELIA;2;BARRIDO;CAQUETÁ;SI
70;SUCRE;70473;MORROA;2;BARRIDO;SUCRE;SI
15;BOYACÁ;15476;MOTAVITA;2;BARRIDO;BOYACÁ;SI
73;TOLIMA;73461;MURILLO;2;BARRIDO;TOLIMA;SI
15;BOYACÁ;15480;MUZO;2;BARRIDO;BOYACÁ;SI
52;NARIÑO;52480;NARIÑO;2;BARRIDO;NARIÑO;SI
41;HUILA;41483;NÁTAGA;2;BARRIDO;HUILA;SI
