ID_DEPTO;DEPARTAMENTO;ID_MPIO;MUNICIPIO;MÉTODO;FASE;"TRANSMITIDAS
A";"NOTIFICADAS
B";% TRANSMISIÓN (A/B);REPORTE INICIO DE OPERACIÓN CONAL 30/05;;;
15;BOYACÁ;15500;OICATÁ;BARRIDO;3;333;449;74,16%;SI;;;
05;ANTIOQUIA;5761;SOPETRÁN;BARRIDO;2;1662;2239;74,23%;SI;;;
15;BOYACÁ;15293;GACHANTIVÁ;BARRIDO;3;209;281;74,38%;SI;;;
05;ANTIOQUIA;5347;HELICONIA;BARRIDO;2;855;1149;74,41%;SI;;;
15;BOYACÁ;15673;SAN MATEO;BARRIDO;3;303;407;74,45%;SI;;;
05;ANTIOQUIA;5649;SAN CARLOS;BARRIDO;2;1301;1745;74,56%;SI;;;
25;CUNDINAMARCA;25797;TENA;BARRIDO;2;949;1271;74,67%;SI;;;
05;ANTIOQUIA;5628;SABANALARGA;BARRIDO;2;1303;1737;75,01%;SI;;;
15;BOYACÁ;15114;BUSBANZÁ;BARRIDO;3;160;213;75,12%;SI;;;
05;ANTIOQUIA;5059;ARMENIA;BARRIDO;2;615;815;75,46%;SI;;;
15;BOYACÁ;15469;MONIQUIRÁ;BARRIDO;3;2005;2652;75,60%;SI;;;
15;BOYACÁ;15232;CHÍQUIZA;BARRIDO;3;629;830;75,78%;SI;;;
05;ANTIOQUIA;5842;URAMITA;BARRIDO;2;907;1196;75,84%;SI;;;
15;BOYACÁ;15362;IZA;BARRIDO;3;433;570;75,96%;SI;;;
15;BOYACÁ;15537;PAZ DE RÍO;BARRIDO;3;737;970;75,98%;SI;;;
81;ARAUCA;81591;PUERTO RONDÓN;BARRIDO;3;311;409;76,04%;SI;;;
15;BOYACÁ;15638;SÁCHICA;BARRIDO;3;680;893;76,15%;SI;;;
68;SANTANDER;68211;CONTRATACIÓN;BARRIDO;2;820;1076;76,21%;SI;;;
25;CUNDINAMARCA;25426;MACHETA;BARRIDO;2;652;855;76,26%;SI;;;
85;CASANARE;85300;SABANALARGA;BARRIDO;3;653;855;76,37%;SI;;;
68;SANTANDER;68522;PALMAR;BARRIDO;2;186;243;76,54%;SI;;;
