OBJECTID	MpCodigo	MpNombre	MpArea	MpNorma	MpCategor	altitud	Cod_Depto	Codigo	x	y	ORIG_FID
284	25488	Nilo	224.453243		1	400	25	25488	4820870.627	2032759.81	284
285	25612	Ricaurte	127.9183814		1	284	25	25612	4808155.419	2034174.448	285
286	63548	Pijao	248.5459703		1	1650	63	63548	4702261.56	2034110.812	286
287	25805	Tibacuy	84.64381602		1	1625	25	25805	4835082.442	2035666.667	287
288	25535	Pasca	271.4082012		1	2180	25	25535	4858679.205	2032572.43	288
289	25594	Quetame	137.5964305		1	1400	25	25594	4905426.428	2037022.385	289
290	63111	Buenavista	38.44795063	Ordenanza No. 29 de 1966	1	1500	63	63111	4695543.56	2041064.746	290
291	76736	Sevilla	537.1703945	Ordenanza No. 26 de 1914	1	1613	76	76736	4679467.364	2021962.379	291
292	25001	Agua De Dios	85.88512036	Ordenanza No. 78 de 1963	1	350	25	25001	4814615.125	2041392.191	292
293	76122	Caicedonia	166.9686198	Ordenanza No. 21 de 1923	1	1167	76	76122	4685227.637	2034727.146	293
294	25290	Fusagasugá	193.4780169		1	1728	25	25290	4845968.243	2035878.855	294
295	25845	Une	208.866481		1	2380	25	25845	4881521.157	2033421.127	295
296	25307	Girardot	130.2526862		1	289	25	25307	4799055.559	2037596.486	296
297	63212	Córdoba	92.95653149	Ordenanza No. 22 de 1966	1	1525	63	63212	4705849.148	2044273.982	297
298	50573	Puerto López	6898.196766	Decreto No. 2543 de 1955	1	184	50	50573	5039310.216	2001590.352	298
299	25151	Cáqueza	111.4052094		1	1658	25	25151	4895213.405	2044509.42	299
300	50606	Restrepo	364.4923172		1	488	50	50606	4947458.808	2026254.69	300
301	50245	El Calvario	269.9059319	Decreto No. 2543 de 1955	1	1900	50	50245	4920764.361	2038973.722	301
302	76895	Zarzal	367.9529273	Decreto No. 0155 de 1909	1	917	76	76895	4661485.253	2039753.402	302
303	50124	Cabuyaro	911.8437202		1	175	50	50124	5005247.337	2034832.125	303
304	25483	Nariño	55.08897389		1	262	25	25483	4799714.834	2045315.985	304
305	63401	La Tebaida	89.43040842	Decreto No. 547 de 1954	1	1175	63	63401	4687440.452	2048736.812	305
306	25743	Silvania	162.7850608	Ordenanza No. 40 de 1948	1	1468	25	25743	4847994.434	2048410.844	306
307	76100	Bolívar	743.7784193		1	930	76	76100	4626586.749	2041019.009	307
308	25178	Chipaque	150.3601583		1	2441	25	25178	4882496.783	2047128.584	308
309	73200	Coello	343.4228287		1	300	73	73200	4787955.219	2039399.504	309
310	76622	Roldanillo	235.1666351		1	945	76	76622	4648481.426	2049753.111	310
311	25878	Viotá	201.1038012		1	567	25	25878	4835248.746	2048345.268	311
312	25740	Sibaté	121.9026212	Ordenanza No. 40 de 1967	1	2574	25	25740	4859897.791	2051606.65	312
313	25312	Granada	60.6392765	Ordenanza No. 017 de 1995	1	2250	25	25312	4851704.29	2057977.395	313
314	25841	Ubaque	106.9501751		1	1820	25	25841	4891805.85	2055401.644	314
315	50686	San Juanito	244.5235077	Ordenanza No. 32 de 1981	1	1950	50	50686	4926573.459	2051880.805	315
316	63130	Calarcá	220.5835906		1	1537	63	63130	4705275.189	2052221.947	316
317	76403	La Victoria	264.7187532		1	916	76	76403	4670860.184	2054091.194	317
318	27250	El Litoral Del San Juán	4136.152719	Ordenanza No. 001 de 1993	1	25	27	27250	4560085.78	2028440.662	318
319	73124	Cajamarca	508.3353564	Decreto No. 0112 de 1908	1	1814	73	73124	4722934.173	2045430.247	319
320	63470	Montenegro	149.1730665	Ordenanza No. 14 de 1911	1	1150	63	63470	4687397.913	2058275.575	320
321	63001	Armenia	121.4016512		1	1483	63	63001	4697712.974	2055742.294	321
322	25324	Guataquí	90.89217542		1	255	25	25324	4802382.539	2056847.065	322
323	76400	La Unión	120.8726624		1	963	76	76400	4655726.849	2060177.047	323
324	25815	Tocaima	245.5809768		1	399	25	25815	4817150.955	2050155.728	324
325	25245	El Colegio	118.1561121		1	980	25	25245	4841802.14	2061694.531	325
326	25599	Apulo	121.8718808	Decreto No. 1336 de 1949	1	417	25	25599	4824952.088	2057685.978	326
327	73547	Piedras	354.1643168		1	433	73	73547	4786945.911	2053867.275	327
328	25754	Soacha	187.2321758		1	2555	25	25754	4863609.696	2059515.678	328
329	25035	Anapoima	123.8374853		1	689	25	25035	4830810.102	2062050.465	329
330	25181	Choachí	212.1324478		1	1920	25	25181	4898778.182	2064477.436	330
331	25645	San Antonio Del Tequendama	88.47406007		1	1500	25	25645	4850870.6	2066406.973	331
332	25368	Jerusalén	221.6727531		1	300	25	25368	4812680.393	2063349.408	332
333	76250	El Dovio	236.0293499	Ordenanza No. 14 de 1956	1	1250	76	76250	4635275.108	2060478.664	333
334	63594	Quimbaya	133.4940633	Ordenanza No. 26 de 1922	1	1315	63	63594	4690312.734	2068035.933	334
335	76497	Obando	214.6749041		1	935	76	76497	4672863.933	2066704.186	335
336	25438	Medina	1194.929125		1	533	25	25438	4954975.096	2053536.089	336
337	63190	Circasia	90.28174583		1	1773	63	63190	4704221.372	2067385.376	337
338	25279	Fómeque	459.5173199		1	1925	25	25279	4911614.778	2058450.466	338
339	25797	Tena	51.38366389		1	1350	25	25797	4845677.91	2072148.467	339
340	73001	Ibagué	1376.571801		1	1286	73	73001	4750128.237	2050316.045	340
341	73026	Alvarado	344.1118654		1	418	73	73026	4779719.512	2064680.163	341
342	76863	Versalles	200.6376386		1	1900	76	76863	4643042.134	2069599.538	342
343	25386	La Mesa	148.1291956		1	1275	25	25386	4836653.858	2072078.569	343
344	85440	Villanueva	832.1805243	Ordenanza No. 2287 de 1982	1	200	85	85440	5019612.716	2058374.894	344
345	63690	Salento	347.4023716	Decreto No. 0995 de 1908	1	1900	63	63690	4719291.654	2068041.141	345
346	73043	Anzoátegui	469.4692598	Ordenanza No. 21 de 1915	1	1900	73	73043	4757005.325	2070182.95	346
347	76020	Alcalá	62.33610448	Ordenanza No. 12 de 1919	1	1220	76	76020	4691351.528	2075624.383	347
348	63272	Filandia	106.5864164		1	1800	63	63272	4703722.335	2074515.104	348
349	50110	Barranca De Upía	403.0138595	Ordenanza No. 05 de 1990	1	225	50	50110	5000500.523	2057353.103	349
350	25473	Mosquera	106.0101687		1	2543	25	25473	4863039.386	2074473.922	350
351	25530	Paratebueno	883.9065376	Ordenanza No. 36 de 1981	1	250	25	25530	4979262.386	2049980.92	351
352	76823	Toro	175.7556419		1	958	76	76823	4658242.805	2071284.361	352
353	76845	Ulloa	41.87225287	Ordenanza No. 20 de 1925	1	1410	76	76845	4691876.584	2078810.724	353
354	25580	Pulí	197.5197093		1	1000	25	25580	4813645.409	2076610.864	354
355	25099	Bojacá	102.2074908		1	2600	25	25099	4852655.026	2076563.679	355
356	25123	Cachipay	53.39584477	Ordenanza No. 006 de 1982	1	1650	25	25123	4838222.709	2080062.485	356
357	76054	Argelia	90.80595341	Ordenanza No. 15 de 1956	1	1512	76	76054	4651548.63	2078602.279	357
358	25299	Gama	107.5189309	Ordenanza No. 14 de 1903	1	2150	25	25299	4933425.389	2079977.897	358
359	25286	Funza	69.97262577		1	2548	25	25286	4867245.555	2082204.802	359
360	25596	Quipile	127.5895654		1	1448	25	25596	4827695.329	2079201.298	360
361	25293	Gachalá	384.3742311		1	1700	25	25293	4943394.864	2072387.551	361
362	25898	Zipacón	54.14079878		1	2550	25	25898	4846271.043	2083508.48	362
363	27745	Sipí	1577.453127	Ordenanza No. 014 de 1956	1	50	27	27745	4607068.787	2066651.331	363
364	76147	Cartago	248.1869748		1	917	76	76147	4676387.174	2078777.282	364
365	73861	Venadillo	334.3985641		1	332	73	73861	4787014.61	2078730.036	365
366	73686	Santa Isabel	270.0521576	Ordenanza No. 13 de 1904	1	2270	73	73686	4755268.605	2080950.502	366
367	25377	La Calera	326.2636033		1	2581	25	25377	4896959.073	2077499.961	367
368	11001	Bogotá, D.C.	1618.46768		2	2600	11	11001	4868977.401	2034947.679	368
369	25372	Junín	343.265913		1	2325	25	25372	4923230.791	2077951.714	369
370	25086	Beltrán	176.7266367		1	229	25	25086	4805271.24	2079765.195	370
371	76246	El Cairo	214.2370366	Ordenanza No. 045 de 1947	1	1800	76	76246	4643427.685	2084368.986	371
372	25040	Anolaima	120.8314956		1	1650	25	25040	4837933.846	2087385.681	372
373	25214	Cota	53.67950503		1	2561	25	25214	4875469.298	2087197.107	373
374	25430	Madrid	119.4452108		1	2550	25	25430	4860349.29	2085502.355	374
375	25839	Ubalá	521.5783297		1	1900	25	25839	4954743.101	2083879.734	375
376	66170	Dosquebradas	69.97443524	Ordenanza No. 12 de 1972	1	1479	66	66170	4703970.434	2093626.065	376
377	76041	Ansermanuevo	305.4604815		1	964	76	76041	4664028.461	2088686.877	377
378	25269	Facatativá	157.8790613		1	2586	25	25269	4851684.136	2092301.492	378
379	50568	Puerto Gaitán	17199.25418	Ordenanza No. 39 de 1969	1	149	50	50568	5151847.819	2000678.615	379
380	25799	Tenjo	114.009823		1	2600	25	25799	4872883.039	2092759.012	380
381	66001	Pereira	608.2391396		1	1415	66	66001	4699231.304	2086923.551	381
382	25175	Chía	79.81280823		1	2557	25	25175	4885070.317	2095729.617	382
383	73461	Murillo	423.7215135	Ordenanza No. 83 de 1985	1	2950	73	73461	4753882.927	2091749.326	383
384	25322	Guasca	360.0842566		1	2650	25	25322	4906175.662	2088592.867	384
385	15236	Chivor	108.4932034	Ordenanza No. 23 de 1990	1	1850	15	15236	4959942.689	2096269.676	385
386	66400	La Virginia	32.80016849	Ordenanza No. 057 de 1959	1	900	66	66400	4683784.298	2100637.132	386
387	25095	Bituima	61.01694359		1	1400	25	25095	4830553.047	2093867.137	387
388	25260	El Rosal	87.12009013	Ordenanza No. 25 de 1997	1	2600	25	25260	4862779.077	2097328.589	388
389	25328	Guayabal De Síquima	61.83974025		1	1600	25	25328	4835569.276	2097348.621	389
390	73030	Ambalema	237.8382544		1	238	73	73030	4799966.384	2091411.007	390
391	25019	Albán	50.75098509	Ordenanza No. 019 de 1903	1	2245	25	25019	4840082.957	2098633.026	391
392	25297	Gachetá	258.5057911		1	1750	25	25297	4931533.589	2095888.202	392
393	25867	Vianí	67.03580906		1	1480	25	25867	4827811.598	2098446.392	393
394	73408	Lérida	271.7663727		1	345	73	73408	4786788.568	2095993.786	394
395	15690	Santa María	309.1066068	Ordenanza No. 28 de 1961	1	900	15	15690	4971871.695	2090940.207	395
396	25758	Sopó	110.8892943		1	2574	25	25758	4892948.888	2098198.918	396
397	25662	San Juan De Rioseco	313.8168218		1	1268	25	25662	4816153.544	2093159.55	397
398	66682	Santa Rosa De Cabal	543.3292305		1	1701	66	66682	4717327.139	2092658.071	398
399	25126	Cajicá	51.25631773		1	2558	25	25126	4885866.344	2102885.943	399
400	25326	Guatavita	251.997878		1	2700	25	25326	4912834.399	2100774.565	400
401	15325	Guayatá	99.80420326		1	1700	15	15325	4944961.659	2102935.902	401
402	66075	Balboa	119.4793266		1	1550	66	66075	4673730.767	2102189.54	402
403	15667	San Luis De Gaceno	468.9663207		1	400	15	15667	4986279.474	2090081.672	403
404	73411	Líbano	282.2002444		1	1600	73	73411	4773012.273	2097349.799	404
405	85300	Sabanalarga	400.1581966	Ordenanza No. 05 de 1965	1	450	85	85300	5000465.076	2089629.144	405
406	25785	Tabio	75.12982251		1	2600	25	25785	4879809.705	2105231.895	406
407	25168	Chaguaní	171.8746825		1	1023	25	25168	4819243.06	2105660.065	407
408	15022	Almeida	57.5741962		1	1925	15	15022	4956987.432	2105513.597	408
409	15761	Somondoco	58.69677714		1	1680	15	15761	4952483.398	2107300.821	409
410	25718	Sasaima	111.5066103		1	1191	25	25718	4843473.74	2104781.06	410
411	25817	Tocancipá	73.1481078		1	2564	25	25817	4897062.106	2107122.462	411
412	27491	Nóvita	945.6760173		1	100	27	27491	4598710.943	2095340.709	412
413	25658	San Francisco	118.6155976		1	1505	25	25658	4859011.443	2106661.374	413
414	25295	Gachancipá	42.86544066		1	2563	25	25295	4902838.705	2111666.521	414
415	66440	Marsella	149.2976688		1	1600	66	66440	4694773.532	2104819.498	415
416	66383	La Celia	92.47551289	Ordenanza No. 96 de 1959	1	1500	66	66383	4666500.412	2109942.592	416
417	76243	El Águila	187.8240555	Decreto No. 0284 de 1950	1	1750	76	76243	4660052.201	2102163.757	417
418	15778	Sutatenza	41.06350103		1	1950	15	15778	4951963.757	2113475.996	418
419	17873	Villamaria	454.8708477		1	1944	17	17873	4730024.301	2104380.51	419
420	15322	Guateque	36.07517975		1	1810	15	15322	4945911.227	2112115.894	420
421	85162	Monterrey	777.5734258		1	430	85	85162	5016920.951	2092959.208	421
422	15425	Macanal	199.614149		1	1850	15	15425	4967405.342	2108309.427	422
423	73870	Villahermosa	279.0649029		1	2000	73	73870	4761043.665	2107109.226	423
424	25436	Manta	107.7356329		1	1900	25	25436	4937595.408	2107964.613	424
425	85139	Maní	3745.281326		1	175	85	85139	5087278.46	2074714.725	425
426	25875	Villeta	140.7747026		1	799	25	25875	4835137.217	2111968.852	426
427	25769	Subachoque	208.9673829		1	2600	25	25769	4871789.282	2107329.187	427
428	17088	Belalcázar	113.316409	Ordenanza No. 17 de 1911	1	1600	17	17088	4688247.344	2110570.513	428
429	25402	La Vega	155.27048		1	1200	25	25402	4851567.241	2108280.581	429
430	17174	Chinchiná	109.3206725	Ordenanza No. 011 de 1880	1	1378	17	17174	4704343.748	2109666.748	430
431	25736	Sesquilé	140.9873272		1	2601	25	25736	4913465.197	2111503.98	431
432	15135	Campohermoso	298.1735391		1	1300	15	15135	4983969.039	2111252.517	432
433	25491	Nocaima	68.86639535		1	1100	25	25491	4846001.781	2117962.458	433
434	25777	Supatá	130.2377899		1	1788	25	25777	4863552.933	2117438.831	434
435	15798	Tenza	45.78731273		1	1600	15	15798	4952932.894	2118398.832	435
436	73152	Casabianca	174.8399569	Ordenanza No.26 de 1896	1	1900	73	73152	4757376.835	2112741.185	436
437	17665	San José	60.9603105	Ordenanza No. 233 de 1997	1	1750	17	17665	4688141.637	2118979.146	437
438	25807	Tibirita	56.45602635		1	1950	25	25807	4943091.754	2119808.074	438
439	27450	Medio San Juan	663.7740472	Ordenanza No. 016 de 2000	1	41	27	27450	4578089.694	2091136.8	439
440	17877	Viterbo	112.8961887	Decreto No. 0826 de 1951	1	1000	17	17877	4680835.015	2116482.512	440
441	66687	Santuario	190.8596149		1	1600	66	66687	4669441.629	2116330.615	441
442	17524	Palestina	112.2038937	Ordenanza No. 007 de 1876	1	1600	17	17524	4704974.466	2116650.325	442
443	73520	Palocabildo	64.97293673	Ordenanza No. 39 de 1996	1	1410	73	73520	4776321.938	2121232.955	443
444	73055	Armero	440.3039193		1	331	73	73055	4795244.82	2111527.496	444
445	25426	Machetá	228.8367664		1	2108	25	25426	4931591.094	2114983.919	445
446	25592	Quebradanegra	79.77743454		1	1300	25	25592	4834399.891	2121731.975	446
447	15380	La Capilla	56.83715275		1	1975	15	15380	4949120.215	2123015.125	447
448	25899	Zipaquirá	194.5814119		1	2611	25	25899	4886635.049	2115685.456	448
449	25486	Nemocón	98.22993756		1	2583	25	25486	4902075.941	2120913.511	449
450	15299	Garagoa	193.1745687		1	1675	15	15299	4965176.494	2120386.621	450
451	17001	Manizales	440.8880196	Ordenanza No. Nn de 1849	1	2126	17	17001	4722118.064	2120250.921	451
452	73347	Herveo	322.5384745		1	2250	73	73347	4751391.361	2118497.579	452
453	73270	Falan	181.1979847		1	930	73	73270	4783125.271	2119577.792	453
454	25200	Cogua	132.7012793		1	2620	25	25200	4891931.84	2121969.644	454
455	17616	Risaralda	89.90593398		1	1700	17	17616	4694235.523	2123544.66	455
456	85410	Tauramena	2380.173697		1	475	85	85410	5041085.929	2077147.151	456
457	27660	San José Del Palmar	1582.524364	Decreto No. 0052 de 1948	1	2500	27	27660	4636316.394	2106831.544	457
458	25862	Vergara	144.4924587		1	1350	25	25862	4854878.556	2125145.311	458
459	25489	Nimaima	59.43884377	Ordenanza No. 30 de 1904	1	1175	25	25489	4845283.207	2125439.57	459
460	15514	Páez	338.4081942	Ordenanza No. 38 de 1962	1	1500	15	15514	4999517.182	2121012.635	460
461	15511	Pachavita	66.57743066		1	2000	15	15511	4955739.847	2126895.379	461
462	27205	Condoto	467.886424		1	50	27	27205	4608911.84	2119702.969	462
463	85230	Orocué	4739.877211		1	131	85	85230	5155313.661	2101282.221	463
464	25772	Suesca	173.0188205		1	2600	25	25772	4913283.69	2125571.773	464
465	15455	Miraflores	258.2394849		1	1523	15	15455	4980173.158	2127174.797	465
466	25183	Chocontá	299.6560037		1	2656	25	25183	4924586.105	2123620.343	466
467	66045	Apía	149.9796097		1	1619	66	66045	4672644.981	2126677.767	467
468	25793	Tausa	201.5987393		1	2931	25	25793	4894057.413	2132008.635	468
469	25851	Útica	91.99412621		1	500	25	25851	4836275.758	2131986.462	469
470	27580	Rio Iró	325.2163071	Ordenanza No. 015 de 2000	1	158	27	27580	4613751.177	2130631.74	470
471	66088	Belén De Umbría	180.5872241		1	1500	66	66088	4682170.651	2133356.926	471
472	17486	Neira	369.1993657		1	1965	17	17486	4722197.418	2131302.312	472
473	15172	Chinavita	136.1376564		1	1757	15	15172	4962283.072	2132929.998	473
474	25398	La Peña	128.3383451		1	1230	25	25398	4844028.06	2133273.265	474
475	17042	Anserma	209.159698		1	1765	17	17042	4694931.134	2133286.969	475
